r,t,y,NewCapacity
RE1,PWRPVR,2045,0.1847
RE1,PWRPVR,2046,0.2357
RE1,PWRPVR,2047,0.2667
RE1,PWRPVR,2048,0.3199
RE1,PWRPVR,2049,0.3838
RE1,PWRPVR,2050,0.4605
RE1,PWRHYD004,2020,0.0
RE1,PWRHYD004,2021,0.0
RE1,PWRHYD004,2022,0.0117
RE1,PWRHYD004,2023,0.0006
RE1,PWRHYD004,2024,0.0007
RE1,PWRHYD004,2025,0.0007
RE1,PWRHYD004,2026,0.0
RE1,PWRHYD004,2027,0.0
RE1,PWRHYD004,2028,0.0
RE1,PWRHYD004,2029,0.0
RE1,PWRHYD004,2030,0.0
RE1,PWRHYD004,2031,0.0
RE1,PWRHYD004,2032,0.0
RE1,PWRHYD004,2033,0.0
RE1,PWRHYD004,2034,0.0
RE1,PWRHYD004,2035,0.0011
RE1,PWRHYD004,2036,0.0032
RE1,PWRHYD004,2037,0.0038
RE1,PWRHYD004,2038,0.0045
RE1,PWRHYD004,2039,0.0055
RE1,PWRHYD004,2040,0.0065
RE1,PWRHYD004,2041,0.0079
RE1,PWRHYD004,2042,0.0094
RE1,PWRHYD004,2043,0.0113
RE1,PWRHYD004,2044,0.0136
RE1,PWRHYD004,2045,0.0163
RE1,PWRHYD004,2046,0.0196
RE1,PWRHYD004,2047,0.0235
RE1,PWRHYD004,2048,0.0092
RE1,PWRHYD004,2049,0.0
RE1,PWRHYD004,2050,0.0
RE1,PWRDSL,2020,0.0
RE1,PWRDSL,2021,0.0
RE1,PWRDSL,2022,1.0369
RE1,PWRDSL,2023,0.0563
RE1,PWRDSL,2024,0.0591
RE1,PWRDSL,2025,0.0621
RE1,PWRDSL,2026,0.0652
RE1,PWRDSL,2027,0.2737
RE1,PWRDSL,2028,0.3285
RE1,PWRDSL,2029,0.3941
RE1,PWRDSL,2030,0.3817
RE1,PWRDSL,2031,0.3874
RE1,PWRDSL,2032,0.3658
RE1,PWRDSL,2033,0.4121
RE1,PWRDSL,2034,0.4044
RE1,PWRDSL,2035,0.4466
RE1,PWRDSL,2036,0.4929
RE1,PWRDSL,2037,0.5335
RE1,PWRDSL,2038,0.6027
RE1,PWRDSL,2039,0.6391
RE1,PWRDSL,2040,0.0
RE1,PWRDSL,2041,0.25
RE1,PWRDSL,2042,0.5516
RE1,PWRDSL,2043,0.5179
RE1,PWRDSL,2044,0.4624
RE1,PWRDSL,2045,0.0651
RE1,PWRDSL,2046,0.0
RE1,PWRDSL,2047,0.4308
