REGION,FUEL,TECHNOLOGY,YEAR,MODE_OF_OPERATION,TIMESLICE,VALUE
RE1,CRPMAI,DEMTRABIO,2034,1,SD,0.5972
RE1,CRPMAI,DEMTRABIO,2035,1,SD,0.6131
RE1,LND,LNDBLT,2020,1,SD,5.04
RE1,LND,LNDBLT,2021,1,SD,5.0904
RE1,LND,LNDBLT,2022,1,SD,5.1408
RE1,LND,LNDBLT,2023,1,SD,5.1912
RE1,LND,LNDBLT,2024,1,SD,5.245
RE1,LND,LNDBLT,2025,1,SD,5.2987
RE1,LND,LNDBLT,2026,1,SD,5.3491
RE1,LND,LNDBLT,2027,1,SD,5.4029
RE1,LND,LNDBLT,2028,1,SD,5.4566
RE1,LND,LNDBLT,2029,1,SD,5.5138
RE1,LND,LNDBLT,2030,1,SD,5.5675
RE1,LND,LNDBLT,2031,1,SD,5.6246
RE1,LND,LNDBLT,2032,1,SD,5.6784
RE1,LND,LNDBLT,2033,1,SD,5.7355
RE1,LND,LNDBLT,2034,1,SD,5.7926
RE1,LND,LNDBLT,2035,1,SD,5.8498
RE1,WTRPRC,LNDBLT,2020,1,SD,6.048
RE1,WTRPRC,LNDBLT,2021,1,SD,6.1085
RE1,WTRPRC,LNDBLT,2022,1,SD,6.169
RE1,WTRPRC,LNDBLT,2023,1,SD,6.2294
RE1,WTRPRC,LNDBLT,2024,1,SD,6.294
RE1,WTRPRC,LNDBLT,2025,1,SD,6.3585
RE1,WTRPRC,LNDBLT,2026,1,SD,6.4189
RE1,WTRPRC,LNDBLT,2027,1,SD,6.4835
RE1,WTRPRC,LNDBLT,2028,1,SD,6.548
RE1,WTRPRC,LNDBLT,2029,1,SD,6.6165
RE1,WTRPRC,LNDBLT,2030,1,SD,6.681
RE1,WTRPRC,LNDBLT,2031,1,SD,6.7496
RE1,WTRPRC,LNDBLT,2032,1,SD,6.8141
RE1,WTRPRC,LNDBLT,2033,1,SD,6.8826
RE1,WTRPRC,LNDBLT,2034,1,SD,6.9512
RE1,WTRPRC,LNDBLT,2035,1,SD,7.0197
RE1,LND,LNDFOR,2020,1,SD,85.2096
RE1,LND,LNDFOR,2021,1,SD,85.2096
RE1,LND,LNDFOR,2022,1,SD,85.2096
RE1,LND,LNDFOR,2023,1,SD,85.2096
RE1,LND,LNDFOR,2024,1,SD,85.2096
RE1,LND,LNDFOR,2025,1,SD,85.2096
RE1,LND,LNDFOR,2026,1,SD,85.2096
RE1,LND,LNDFOR,2027,1,SD,85.2096
RE1,LND,LNDFOR,2028,1,SD,85.2096
RE1,LND,LNDFOR,2029,1,SD,85.2096
RE1,LND,LNDFOR,2030,1,SD,85.2096
RE1,LND,LNDFOR,2031,1,SD,85.2096
RE1,LND,LNDFOR,2032,1,SD,85.2096
RE1,LND,LNDFOR,2033,1,SD,85.2096
RE1,LND,LNDFOR,2034,1,SD,85.2096
RE1,LND,LNDFOR,2035,1,SD,85.2096
RE1,WTRPRC,LNDFOR,2020,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2021,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2022,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2023,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2024,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2025,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2026,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2027,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2028,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2029,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2030,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2031,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2032,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2033,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2034,1,SD,102.2515
RE1,WTRPRC,LNDFOR,2035,1,SD,102.2515
RE1,AGRDSL,LNDMAIIRR,2020,1,SD,0.0558
RE1,AGRDSL,LNDMAIIRR,2021,1,SD,0.0586
RE1,AGRDSL,LNDMAIIRR,2022,1,SD,0.0615
RE1,AGRDSL,LNDMAIIRR,2023,1,SD,0.0646
RE1,AGRDSL,LNDMAIIRR,2024,1,SD,0.0678
RE1,AGRDSL,LNDMAIIRR,2025,1,SD,0.0712
RE1,AGRDSL,LNDMAIIRR,2026,1,SD,0.0748
RE1,AGRDSL,LNDMAIIRR,2027,1,SD,0.0785
RE1,AGRDSL,LNDMAIIRR,2028,1,SD,0.0825
RE1,AGRDSL,LNDMAIIRR,2029,1,SD,0.0866
RE1,AGRDSL,LNDMAIIRR,2030,1,SD,0.0909
RE1,AGRDSL,LNDMAIIRR,2031,1,SD,0.0955
RE1,AGRDSL,LNDMAIIRR,2032,1,SD,0.1002
RE1,AGRDSL,LNDMAIIRR,2033,1,SD,0.1052
RE1,AGRDSL,LNDMAIIRR,2034,1,SD,0.1105
RE1,AGRDSL,LNDMAIIRR,2035,1,SD,0.116
RE1,AGRWAT,LNDMAIIRR,2020,1,SD,0.0342
RE1,AGRWAT,LNDMAIIRR,2021,1,SD,0.0359
RE1,AGRWAT,LNDMAIIRR,2022,1,SD,0.0377
RE1,AGRWAT,LNDMAIIRR,2023,1,SD,0.0396
RE1,AGRWAT,LNDMAIIRR,2024,1,SD,0.0415
RE1,AGRWAT,LNDMAIIRR,2025,1,SD,0.0436
RE1,AGRWAT,LNDMAIIRR,2026,1,SD,0.0458
RE1,AGRWAT,LNDMAIIRR,2027,1,SD,0.0481
RE1,AGRWAT,LNDMAIIRR,2028,1,SD,0.0505
RE1,AGRWAT,LNDMAIIRR,2029,1,SD,0.053
RE1,AGRWAT,LNDMAIIRR,2030,1,SD,0.0557
RE1,AGRWAT,LNDMAIIRR,2031,1,SD,0.0584
RE1,AGRWAT,LNDMAIIRR,2032,1,SD,0.0614
