REGION,TIMESLICE,FUEL,YEAR,VALUE
RE1,S11,CRPMAI,2028,0
RE1,S11,CRPMAI,2029,0
RE1,S11,CRPMAI,2030,0
RE1,S11,CRPMAI,2031,0
RE1,S11,CRPMAI,2032,0
RE1,S11,CRPMAI,2033,0
RE1,S11,CRPMAI,2034,0
RE1,S11,CRPMAI,2035,0
RE1,S11,CRPMAI,2036,0
RE1,S11,CRPMAI,2037,0
RE1,S11,CRPMAI,2038,0
RE1,S11,CRPMAI,2039,0
RE1,S11,CRPMAI,2040,0
RE1,S11,CRPMAI,2041,0
RE1,S11,CRPMAI,2042,0
RE1,S11,CRPMAI,2043,0
RE1,S11,CRPMAI,2044,0
RE1,S11,CRPMAI,2045,0
RE1,S11,CRPMAI,2046,0
RE1,S11,CRPMAI,2047,0
RE1,S11,CRPMAI,2048,0
RE1,S11,CRPMAI,2049,0
RE1,S11,CRPMAI,2050,0
RE1,S11,CRPWHE,2020,0
RE1,S11,CRPWHE,2021,0
RE1,S11,CRPWHE,2022,0
RE1,S11,CRPWHE,2023,0
RE1,S11,CRPWHE,2024,0
RE1,S11,CRPWHE,2025,0
RE1,S11,CRPWHE,2026,0
RE1,S11,CRPWHE,2027,0
RE1,S11,CRPWHE,2028,0
RE1,S11,CRPWHE,2029,0
RE1,S11,CRPWHE,2030,0
RE1,S11,CRPWHE,2031,0
RE1,S11,CRPWHE,2032,0
RE1,S11,CRPWHE,2033,0
RE1,S11,CRPWHE,2034,0
RE1,S11,CRPWHE,2035,0
RE1,S11,CRPWHE,2036,0
RE1,S11,CRPWHE,2037,0
RE1,S11,CRPWHE,2038,0
RE1,S11,CRPWHE,2039,0
RE1,S11,CRPWHE,2040,0
RE1,S11,CRPWHE,2041,0
RE1,S11,CRPWHE,2042,0
RE1,S11,CRPWHE,2043,0
RE1,S11,CRPWHE,2044,0
RE1,S11,CRPWHE,2045,0
RE1,S11,CRPWHE,2046,0
RE1,S11,CRPWHE,2047,0
RE1,S11,CRPWHE,2048,0
RE1,S11,CRPWHE,2049,0
RE1,S11,CRPWHE,2050,0
RE1,S11,CRPSOR,2020,0
RE1,S11,CRPSOR,2021,0
RE1,S11,CRPSOR,2022,0
RE1,S11,CRPSOR,2023,0
RE1,S11,CRPSOR,2024,0
RE1,S11,CRPSOR,2025,0
RE1,S11,CRPSOR,2026,0
RE1,S11,CRPSOR,2027,0
RE1,S11,CRPSOR,2028,0
RE1,S11,CRPSOR,2029,0
RE1,S11,CRPSOR,2030,0
RE1,S11,CRPSOR,2031,0
RE1,S11,CRPSOR,2032,0
RE1,S11,CRPSOR,2033,0
RE1,S11,CRPSOR,2034,0
RE1,S11,CRPSOR,2035,0
RE1,S11,CRPSOR,2036,0
RE1,S11,CRPSOR,2037,0
RE1,S11,CRPSOR,2038,0
RE1,S11,CRPSOR,2039,0
RE1,S11,CRPSOR,2040,0
RE1,S11,CRPSOR,2041,0
RE1,S11,CRPSOR,2042,0
RE1,S11,CRPSOR,2043,0
RE1,S11,CRPSOR,2044,0
RE1,S11,CRPSOR,2045,0
RE1,S11,CRPSOR,2046,0
RE1,S11,CRPSOR,2047,0
RE1,S11,CRPSOR,2048,0
RE1,S11,CRPSOR,2049,0
RE1,S11,CRPSOR,2050,0
RE1,S11,CRPBRL,2020,0
RE1,S11,CRPBRL,2021,0
RE1,S11,CRPBRL,2022,0
RE1,S11,CRPBRL,2023,0
RE1,S11,CRPBRL,2024,0
RE1,S11,CRPBRL,2025,0
RE1,S11,CRPBRL,2026,0
RE1,S11,CRPBRL,2027,0
RE1,S11,CRPBRL,2028,0
RE1,S11,CRPBRL,2029,0
RE1,S11,CRPBRL,2030,0
RE1,S11,CRPBRL,2031,0
RE1,S11,CRPBRL,2032,0
RE1,S11,CRPBRL,2033,0
RE1,S11,CRPBRL,2034,0
RE1,S11,CRPBRL,2035,0
RE1,S11,CRPBRL,2036,0
RE1,S11,CRPBRL,2037,0
RE1,S11,CRPBRL,2038,0
RE1,S11,CRPBRL,2039,0
RE1,S11,CRPBRL,2040,0
RE1,S11,CRPBRL,2041,0
RE1,S11,CRPBRL,2042,0
RE1,S11,CRPBRL,2043,0
RE1,S11,CRPBRL,2044,0
RE1,S11,CRPBRL,2045,0
RE1,S11,CRPBRL,2046,0
RE1,S11,CRPBRL,2047,0
RE1,S11,CRPBRL,2048,0
RE1,S11,CRPBRL,2049,0
RE1,S11,CRPBRL,2050,0
RE1,S11,CRPCOF,2020,0
RE1,S11,CRPCOF,2021,0
RE1,S11,CRPCOF,2022,0
RE1,S11,CRPCOF,2023,0
RE1,S11,CRPCOF,2024,0
RE1,S11,CRPCOF,2025,0
RE1,S11,CRPCOF,2026,0
RE1,S11,CRPCOF,2027,0
RE1,S11,CRPCOF,2028,0
RE1,S11,CRPCOF,2029,0
RE1,S11,CRPCOF,2030,0
RE1,S11,CRPCOF,2031,0
RE1,S11,CRPCOF,2032,0
RE1,S11,CRPCOF,2033,0
RE1,S11,CRPCOF,2034,0
RE1,S11,CRPCOF,2035,0
RE1,S11,CRPCOF,2036,0
RE1,S11,CRPCOF,2037,0
RE1,S11,CRPCOF,2038,0
RE1,S11,CRPCOF,2039,0
RE1,S11,CRPCOF,2040,0
RE1,S11,CRPCOF,2041,0
RE1,S11,CRPCOF,2042,0
RE1,S11,CRPCOF,2043,0
RE1,S11,CRPCOF,2044,0
RE1,S11,CRPCOF,2045,0
RE1,S11,CRPCOF,2046,0
RE1,S11,CRPCOF,2047,0
RE1,S11,CRPCOF,2048,0
RE1,S11,CRPCOF,2049,0
RE1,S11,CRPCOF,2050,0
RE1,S11,CRPOTC,2020,0
RE1,S11,CRPOTC,2021,0
RE1,S11,CRPOTC,2022,0
RE1,S11,CRPOTC,2023,0
RE1,S11,CRPOTC,2024,0
RE1,S11,CRPOTC,2025,0
RE1,S11,CRPOTC,2026,0
RE1,S11,CRPOTC,2027,0
RE1,S11,CRPOTC,2028,0
RE1,S11,CRPOTC,2029,0
RE1,S11,CRPOTC,2030,0
RE1,S11,CRPOTC,2031,0
RE1,S11,CRPOTC,2032,0
RE1,S11,CRPOTC,2033,0
RE1,S11,CRPOTC,2034,0
RE1,S11,CRPOTC,2035,0
RE1,S11,CRPOTC,2036,0
RE1,S11,CRPOTC,2037,0
RE1,S11,CRPOTC,2038,0
RE1,S11,CRPOTC,2039,0
RE1,S11,CRPOTC,2040,0
RE1,S11,CRPOTC,2041,0
RE1,S11,CRPOTC,2042,0
RE1,S11,CRPOTC,2043,0
RE1,S11,CRPOTC,2044,0
RE1,S11,CRPOTC,2045,0
RE1,S11,CRPOTC,2046,0
RE1,S11,CRPOTC,2047,0
RE1,S11,CRPOTC,2048,0
RE1,S11,CRPOTC,2049,0
RE1,S11,CRPOTC,2050,0
RE1,S11,TRABIO,2020,0
